lr-AdamW/backbone,lr-AdamW/classifier,step,train_class_loss_step,train_acc1_step,train_acc5_step,epoch,val_loss,val_acc1,val_acc5,train_class_loss_epoch,train_acc1_epoch,train_acc5_epoch
3e-05,3e-05,0,,,,,,,,,,
,,49,6.920501708984375,0.0,0.78125,0,,,,,,
,,99,6.766448974609375,0.78125,3.125,0,,,,,,
,,149,6.77874755859375,0.0,7.03125,0,,,,,,
,,199,6.764129638671875,0.0,0.0,0,,,,,,
,,249,6.768798828125,0.78125,1.5625,0,,,,,,
,,299,6.643218994140625,0.78125,3.90625,0,,,,,,
,,349,6.51214599609375,0.0,3.125,0,,,,,,
,,399,6.595977783203125,0.0,2.34375,0,,,,,,
,,449,6.666839599609375,0.78125,1.5625,0,,,,,,
,,499,6.443634033203125,2.34375,7.03125,0,,,,,,
,,549,6.5284423828125,1.5625,6.25,0,,,,,,
,,599,6.550567626953125,0.78125,5.46875,0,,,,,,
,,649,6.425750732421875,1.5625,5.46875,0,,,,,,
,,699,6.265869140625,1.5625,8.59375,0,,,,,,
,,749,6.234161376953125,1.5625,11.71875,0,,,,,,
,,799,6.254547119140625,0.78125,4.6875,0,,,,,,
,,849,6.252685546875,0.78125,6.25,0,,,,,,
,,899,6.146331787109375,1.5625,5.46875,0,,,,,,
,,949,6.2469329833984375,2.34375,9.375,0,,,,,,
,,999,6.235626220703125,3.125,9.375,0,,,,,,
,,1049,6.284454345703125,3.125,9.375,0,,,,,,
,,1099,6.213958740234375,0.0,9.375,0,,,,,,
,,1149,5.9354248046875,6.25,13.28125,0,,,,,,
,,1199,6.207275390625,2.34375,10.15625,0,,,,,,
,,1249,5.9119415283203125,3.90625,14.0625,0,,,,,,
,,1250,,,,0,5.894016265869141,4.343999862670898,12.805998802185059,,,
,,1250,,,,0,,,,6.441833972930908,1.5877141952514648,5.474292278289795
0.00015999999999999999,5.9999999999999995e-05,1251,,,,,,,,,,
,,1299,6.128173828125,3.125,10.15625,1,,,,,,
,,1349,6.055511474609375,2.34375,9.375,1,,,,,,
,,1399,5.9774169921875,2.34375,10.9375,1,,,,,,
,,1449,5.825531005859375,5.46875,16.40625,1,,,,,,
,,1499,5.858222961425781,7.8125,12.5,1,,,,,,
,,1549,5.9631500244140625,3.125,8.59375,1,,,,,,
,,1599,5.8294830322265625,6.25,15.625,1,,,,,,
,,1649,5.775840759277344,4.6875,14.0625,1,,,,,,
,,1699,5.732177734375,3.90625,15.625,1,,,,,,
,,1749,5.834617614746094,3.90625,15.625,1,,,,,,
,,1799,5.6068878173828125,10.15625,17.96875,1,,,,,,
,,1849,5.818885803222656,5.46875,10.15625,1,,,,,,
,,1899,5.6399078369140625,4.6875,12.5,1,,,,,,
,,1949,5.646942138671875,6.25,14.84375,1,,,,,,
,,1999,5.8482513427734375,6.25,14.0625,1,,,,,,
,,2049,5.4525299072265625,5.46875,15.625,1,,,,,,
,,2099,5.3683624267578125,4.6875,19.53125,1,,,,,,
,,2149,5.4650115966796875,5.46875,16.40625,1,,,,,,
,,2199,5.6728515625,3.125,12.5,1,,,,,,
,,2249,5.4383544921875,5.46875,17.1875,1,,,,,,
,,2299,5.3583831787109375,6.25,17.1875,1,,,,,,
,,2349,5.12689208984375,9.375,25.78125,1,,,,,,
,,2399,5.3046875,6.25,18.75,1,,,,,,
,,2449,5.21916389465332,9.375,20.3125,1,,,,,,
,,2499,5.394924163818359,10.9375,18.75,1,,,,,,
,,2501,,,,1,5.059746265411377,9.915999412536621,24.43600082397461,,,
,,2501,,,,1,,,,5.692805290222168,5.0847601890563965,14.465147018432617
0.00029,8.999999999999999e-05,2502,,,,,,,,,,
,,2549,5.476936340332031,4.6875,15.625,2,,,,,,
,,2599,5.181873321533203,10.15625,22.65625,2,,,,,,
,,2649,5.3356781005859375,7.03125,18.75,2,,,,,,
,,2699,5.445182800292969,6.25,19.53125,2,,,,,,
,,2749,5.221593856811523,9.375,20.3125,2,,,,,,
,,2799,5.33807373046875,5.46875,19.53125,2,,,,,,
,,2849,5.001220703125,8.59375,25.78125,2,,,,,,
,,2899,5.389610290527344,7.8125,17.96875,2,,,,,,
,,2949,5.135917663574219,9.375,25.78125,2,,,,,,
,,2999,5.183082580566406,9.375,26.5625,2,,,,,,
